  
       XFOIL         Version 6.99
  
 Calculated polar for: St. CYR 171 (Royer)                             
  -0.750  -0.2694   0.01907   0.01010   0.0299   1.0000   0.7483
  -1.000  -0.2877   0.01919   0.01010   0.0282   1.0000   0.7193
  -1.250  -0.3026   0.01924   0.01015   0.0261   1.0000   0.6852
  -1.500  -0.3161   0.01916   0.01010   0.0235   1.0000   0.6427
  -1.750  -0.3320   0.01935   0.00962   0.0200   1.0000   0.6054
  -2.000  -0.3721   0.02356   0.01313   0.0224   1.0000   0.5479
  -2.250  -0.3809   0.02813   0.01798   0.0207   1.0000   0.4983
  -2.500  -0.3900   0.03062   0.02069   0.0185   1.0000   0.4647
  -2.750  -0.4030   0.03150   0.02178   0.0164   1.0000   0.4401
  -3.000  -0.4192   0.03196   0.02232   0.0144   1.0000   0.4218
  -3.250  -0.4371   0.03199   0.02254   0.0129   1.0000   0.4047
  -3.500  -0.4562   0.03218   0.02284   0.0113   1.0000   0.3911
  -3.750  -0.4762   0.03227   0.02298   0.0097   1.0000   0.3790
  -4.000  -0.4966   0.03235   0.02311   0.0080   1.0000   0.3679
  -4.250  -0.5163   0.03285   0.02367   0.0065   1.0000   0.3589
  -4.500  -0.5374   0.03309   0.02394   0.0049   1.0000   0.3522
  -4.750  -0.5575   0.03359   0.02451   0.0033   1.0000   0.3445
  -5.000  -0.5787   0.03374   0.02467   0.0015   1.0000   0.3372
  -5.250  -0.6000   0.03391   0.02487  -0.0003   1.0000   0.3296
  -5.500  -0.6194   0.03473   0.02575  -0.0020   1.0000   0.3233
  -5.750  -0.6435   0.03392   0.02477  -0.0042   1.0000   0.3122
  -6.000  -0.6643   0.03383   0.02445  -0.0065   1.0000   0.2961
  -6.250  -0.6824   0.03473   0.02515  -0.0086   1.0000   0.2777
  -6.500  -0.6941   0.03646   0.02707  -0.0108   1.0000   0.2583
  -6.750  -0.7071   0.03823   0.02898  -0.0130   1.0000   0.2402
  -7.000  -0.7179   0.04026   0.03121  -0.0153   1.0000   0.2210
  -7.250  -0.7262   0.04284   0.03399  -0.0178   1.0000   0.2027
  -7.500  -0.7349   0.04548   0.03676  -0.0202   1.0000   0.1881
  -7.750  -0.7546   0.04687   0.03795  -0.0220   1.0000   0.1752
  -8.000  -0.7369   0.05247   0.04424  -0.0243   1.0000   0.1709
  -8.250  -0.7163   0.05870   0.05086  -0.0251   1.0000   0.1686
  -8.500  -0.6872   0.06607   0.05841  -0.0243   1.0000   0.1695
  -8.750  -0.6588   0.07328   0.06564  -0.0226   1.0000   0.1712
  -9.000  -0.6363   0.07946   0.07178  -0.0213   1.0000   0.1728
  -9.250  -0.6233   0.08533   0.07758  -0.0195   1.0000   0.1741
  -9.250  -0.6141   0.08655   0.07880  -0.0179   1.0000   0.1766
  -9.350  -0.6173   0.08809   0.08034  -0.0181   1.0000   0.1759
  -9.450  -0.6227   0.08955   0.08181  -0.0186   1.0000   0.1754
 -10.250  -0.4369   0.11795   0.11040  -0.0002   1.0000   0.2943
 -10.500  -0.4104   0.11919   0.11157   0.0010   1.0000   0.2884
 -10.750  -0.4414   0.12485   0.11727   0.0002   1.0000   0.2780
 -11.000  -0.4158   0.12573   0.11809   0.0015   1.0000   0.2721
 -11.250  -0.4278   0.12941   0.12179   0.0013   1.0000   0.2641
 -11.500  -0.4366   0.13389   0.12627   0.0017   1.0000   0.2604
 -11.750  -0.4219   0.13492   0.12728   0.0027   1.0000   0.2533
 -12.000  -0.4583   0.14194   0.13437   0.0018   1.0000   0.2445
 -12.250  -0.5422   0.14568   0.13746   0.0105   1.0000   0.2328
 -12.500  -0.5702   0.15209   0.14394   0.0096   1.0000   0.2274
 -12.750  -0.5638   0.15452   0.14630   0.0113   1.0000   0.2252
 -13.000  -0.5551   0.15558   0.14731   0.0132   1.0000   0.2189
 -13.250  -0.5687   0.15955   0.15132   0.0132   1.0000   0.2123
 -13.500  -0.5871   0.16589   0.15768   0.0132   1.0000   0.2085
 -13.750  -0.5726   0.16545   0.15717   0.0157   1.0000   0.2037
 -14.000  -0.5801   0.16853   0.16025   0.0164   1.0000   0.1972
 -14.250  -0.6030   0.17493   0.16671   0.0159   1.0000   0.1931
 -14.500  -0.6063   0.17868   0.17043   0.0173   1.0000   0.1913
 -14.750  -0.5967   0.17833   0.17002   0.0199   1.0000   0.1872
 -15.000  -0.6025   0.18110   0.17279   0.0210   1.0000   0.1820
 -15.250  -0.6193   0.18611   0.17785   0.0209   1.0000   0.1771
 -15.500  -0.6317   0.19203   0.18376   0.0216   1.0000   0.1744
 -15.750  -0.6229   0.19101   0.18269   0.0245   1.0000   0.1707
 -16.000  -0.6285   0.19356   0.18524   0.0259   1.0000   0.1660
 -16.250  -0.6393   0.19731   0.18900   0.0266   1.0000   0.1620
 -16.500  -0.6656   0.20683   0.19860   0.0257   1.0000   0.1587
 -16.750  -0.6636   0.20795   0.19965   0.0280   1.0000   0.1576
 -17.000  -0.6577   0.20661   0.19828   0.0311   1.0000   0.1543
 -17.250  -0.6635   0.20900   0.20066   0.0327   1.0000   0.1495
 -17.500  -0.6742   0.21261   0.20431   0.0334   1.0000   0.1455
 -17.750  -0.6974   0.22205   0.21381   0.0326   1.0000   0.1424
 -18.000  -0.7011   0.22488   0.21659   0.0346   1.0000   0.1414
 -18.250  -0.6966   0.22289   0.21456   0.0378   1.0000   0.1397
 -18.500  -0.7002   0.22427   0.21594   0.0401   1.0000   0.1360
 -18.750  -0.7080   0.22710   0.21877   0.0415   1.0000   0.1322
 -19.000  -0.7193   0.23110   0.22279   0.0423   1.0000   0.1288
 -19.250  -0.7470   0.24538   0.23715   0.0409   1.0000   0.1261
 -19.500  -0.7402   0.24120   0.23292   0.0444   1.0000   0.1254
 -19.750  -0.7395   0.23988   0.23156   0.0476   1.0000   0.1234
 -20.000  -0.7452   0.24182   0.23350   0.0497   1.0000   0.1202
